Nome Hotel,Località,Valutazione,Commento,Nome Recensore,Data Recensione,Commento Tradotto,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Orange Hotel,Roma,4,"We chose this hotel for proximity to Vatican City and the many amenities; room service, rooftop meals, rooftop view, handicap, accessible everywhere. Well, the restaurant was closed . The Jacuzz you have to pay €32 per person to use. We called the hotel from the airport for early check-in were told we could get early check-in by 11 o’clock. We paid for a taxi service for all of us to get there inc ... Mostra altro",Carol,2023-09-26,"We chose this hotel for proximity to Vatican City and the many amenities; room service, rooftop meals, rooftop view, handicap, accessible everywhere. Well, the restaurant was closed . The Jacuzz you have to pay €32 per person to use. We called the hotel from the airport for early check-in were told we could get early check-in by 11 o’clock. We paid for a taxi service for all of us to get there inc ... Mostra altro",,,,,,
Orange Hotel,Roma,4,This property is very run down and dirty. The mirrors in the room I was given looked liked they were never cleaned. The bathroom was leaky and the water was not draining. I kept getting told they will fix the issues in the morning and that they didn’t have another room to move me too. I spoke with other people as I was there and they had the same issues. Luckily I was only there for one night. Don ... Mostra altro,Annisha,2023-06-30,This property is very run down and dirty. The mirrors in the room I was given looked liked they were never cleaned. The bathroom was leaky and the water was not draining. I kept getting told they will fix the issues in the morning and that they didn’t have another room to move me too. I spoke with other people as I was there and they had the same issues. Luckily I was only there for one night. Don ... Mostra altro,,,,,,
Orange Hotel,Roma,2,It's very dirty! Toilet bowl doesn't work!,Xuemei,2023-06-27,It's very dirty! Toilet bowl doesn't work!,,,,,,
Orange Hotel,Roma,2,"There was no AC or hot water in the room we had. I discovered that there was no hot water the day we checked in but were never told that. Took a cold shower on Day 1...the room was like 85degrees so it didnt matter. When i complained about the AC, there was no follow-up. They offered another room but the entire property was without hot water. It appears from the reviews this has happened before. I ... Mostra altro",Gina,2023-06-21,"There was no AC or hot water in the room we had. I discovered that there was no hot water the day we checked in but were never told that. Took a cold shower on Day 1...the room was like 85degrees so it didnt matter. When i complained about the AC, there was no follow-up. They offered another room but the entire property was without hot water. It appears from the reviews this has happened before. I ... Mostra altro",,,,,,
Orange Hotel,Roma,4,This was a very disappointing hotel - run down - smelly rooms - no roof deck bar - no breakfast- did not get 2 of the 3 rooms i booked yet waz charged for the larger rooms,Viaggiatore,2023-06-04,This was a very disappointing hotel - run down - smelly rooms - no roof deck bar - no breakfast- did not get 2 of the 3 rooms i booked yet waz charged for the larger rooms,,,,,,
Orange Hotel,Roma,4,"Check in was smooth no problems staff were pleasant. However, once my gf and I got to our room it was a turn for the worst. Found another persons hair immediately on the bed and on the ground. Stains on walls and floor however I can handle that. What I can’t handle is the fact there is MOLD and left over used Q tips lying on the table and in the shower. Additionally, sheets and towels left us feel ... Mostra altro",Bryant,2023-05-28,"Check in was smooth no problems staff were pleasant. However, once my gf and I got to our room it was a turn for the worst. Found another persons hair immediately on the bed and on the ground. Stains on walls and floor however I can handle that. What I can’t handle is the fact there is MOLD and left over used Q tips lying on the table and in the shower. Additionally, sheets and towels left us feel ... Mostra altro",,,,,,
Orange Hotel,Roma,4,"We didn’t enjoy our stay at the Orange Hotel in Rome. The room was dirty, especially the floors and there were no toiletries in the bathroom. Despite flagging this to the reception, nothing was done about it. The floor had hairs everywhere and the bathroom hadn’t been properly cleaned. The rooms are very small and the mini fridge wasn’t working. Room was in old/poor condition. I don’t see how this ... Mostra altro",Tunay,2023-02-22,"We didn’t enjoy our stay at the Orange Hotel in Rome. The room was dirty, especially the floors and there were no toiletries in the bathroom. Despite flagging this to the reception, nothing was done about it. The floor had hairs everywhere and the bathroom hadn’t been properly cleaned. The rooms are very small and the mini fridge wasn’t working. Room was in old/poor condition. I don’t see how this ... Mostra altro",,,,,,
Orange Hotel,Roma,2,So I thought I was booking a 4* hotel and I’ll give it as honestly as I can. This isn’t a 4* hotel. The rooms are big with a fair sized bathroom but there are so many things that are wrong with this hotel. • The AC wasn’t working so has to have a window open which meant it was noisy. • The TV didn’t work - it’s usually in Italian anyway so this wasn’t a real issue but should still work • There was ... Mostra altro,Ashley,2022-12-12,So I thought I was booking a 4* hotel and I’ll give it as honestly as I can. This isn’t a 4* hotel. The rooms are big with a fair sized bathroom but there are so many things that are wrong with this hotel. • The AC wasn’t working so has to have a window open which meant it was noisy. • The TV didn’t work - it’s usually in Italian anyway so this wasn’t a real issue but should still work • There was ... Mostra altro,,,,,,
Hotel Dei Fiori,Milano,4,"Seems like it's a former ""projects"" building converted in to a hotel, in the middle of the ""projects"". Lots of graffiti around, and it made me wonder why some of the cars in the parking lot had security boots on the steering wheel. AC was old and not working properly on a 98 degree day. Door lock hard to open. Small twin beds. 3 stars are above the entrance door, maybe to keep your expectations lo ... Mostra altro",Viaggiatore,2023-07-16,"Seems like it's a former ""projects"" building converted in to a hotel, in the middle of the ""projects"". Lots of graffiti around, and it made me wonder why some of the cars in the parking lot had security boots on the steering wheel. AC was old and not working properly on a 98 degree day. Door lock hard to open. Small twin beds. 3 stars are above the entrance door, maybe to keep your expectations lo ... Mostra altro",,,,,,
Hotel Dei Fiori,Milano,2,"Hotel was quite old. Also, some rooms has not minibar, as mine. I had security problem, the hotels room's door does not able to lock. I did not feel safe, then I left hotel. Hotels.com said to me your money will be refunded. However, they did not give my money back. The hotel argue that doors always the same as normal. However, they should know, if the door doesnt able to lock, it is not normal. A ... Mostra altro",Ece,2021-12-04,"Hotel was quite old. Also, some rooms has not minibar, as mine. I had security problem, the hotels room's door does not able to lock. I did not feel safe, then I left hotel. Hotels.com said to me your money will be refunded. However, they did not give my money back. The hotel argue that doors always the same as normal. However, they should know, if the door doesnt able to lock, it is not normal. A ... Mostra altro",,,,,,
